kor	wuu
ɑmitʰɑpul	omituvɤtɕʰ
ɛtɕʌŋ	ɤɕɕin
ɛin	ənin
tɕʌtɕʌ	tɕiätɕiä
lɯŋ	lin
hok	xxotɕʰ
hoktɕɑ	xxotɕʰtʰsɤ
ɑntɕʌn	oɤɕɕi
ɑntɕɑŋ	oɤtʰsään
ɑntɕʌŋ	oɤtin
ɑntɕʌŋ	oɤɕɕin
ɑn	oɤ
hɛŋhwa	xxänxo
hɛŋtɕɑ	xxäntʰsr
hɛŋin	xxännin
ihu	ixxɤu
itɕʌn	iɕɕi
wi	xxuɤ
witɕʰi	xxuɤtʰsr
wihjʌp	uɤɕitɕʰ
ɰiɰi	ini
ɰikjʌn	itɕi
ɰisɑ	isr
jʌk	xxi
ɰitɕɑ	itʰsr
wi	xxuɤ
wisɑn	xxuɤsoɤ
ɰi	i
ɰikɯm	itɕin
ɰisɑŋ	itsään
ɰipok	ivotɕʰ
jukɑm	xxixxoɤ
jutɕʌŋ	xxitɕin
jupoktɕɑ	xxifotɕʰtʰsr
tɕʌŋ	tɕin
hɛ	xxɤ
jʌk	xxiotɕʰ
il	itɕʰ
ilhɑ	itɕʰxxo
ilwʌl	itɕʰxxjtɕʰ
ilsɛkjɛ	itɕʰsrkʰä
iltɕʰʌn	itɕʰtɕʰi
iltɕik	itɕʰtsɤtɕʰ
iltɕʰʌn	itɕʰtʰxi
ilto	itɕʰtäu
ilil	itɕʰnitɕʰ
ilpɑn	itɕʰpʰoɤ
ilpɑn	itɕʰpʰɤ
iljaŋ	itɕʰxxiɛn
ilmɑn	itɕʰvɤ
ilpjʌn	itɕʰpʰi
iltɕʌm	itɕʰtʰi
iltɕɛ	itɕʰɕɕi
in	in
wʌn	xxjn
in	in
wʌn	xxoɤ
ɯm	in
ɯmjʌŋ	inin
ɯmmo	inmäu
ɯmjaŋ	inxxiɛn
un	xxjn
unmun	xxjnvən
u	xxiɤ̞u
usu	xxiɤ̞usɤu
umjʌn	xxiɤ̞umi
upjʌn	xxiɤ̞upʰi
utɕu	xxjtsɤu
otɕʌkʌ	utsɤtɕʰxxŋk
oɑ	uiä
u	xxj
umo	xxjmäu
usɑn	xxjsɤ
usu	xxjsr
utɕʌm	xxjtʰi
mjo	mäu
tɕʰuk	tʰʂɤu
junwʌl	ninxxjtɕʰ
un	xxjn
untoŋ	xxjnton
untoŋtɕɑŋ	xxjntontsän
unki	xxjntɕʰi
untu	xxjntɤu
jʌŋɑ	inxxɚ
jʌŋ	ion
jʌŋwʌn	ionxxjoɤ
jʌŋʌ	innjj
jʌŋmun	invən
jʌŋuŋ	inxxion
wi	xxuɤ
wisʌŋ	xxuɤɕin
wisɛŋ	xxuɤsən
ik	itɕʰ
wʌlnɑm	xxjtɕʰnoɤ
wʌn	xxjoɤ
wʌntɕʌŋ	xxjoɤtʰin
jʌn	xxi
jʌm	xxi
jʌn	i
jʌntɕʰo	itʰʂäu
jʌntɛ	itɤ
jʌntɕɑ	itʰsr
wʌntɕok	xxoɤtʰsotɕʰ
jʌn	kʰxɤ
jʌnpʰi	kʰxɤpi
jʌnpʰil	kʰxɤpʰitɕʰ
wʌnɑŋ	joɤiɛn
ʌsiho	xxjtsrxu
waŋwaŋ	uäänuään
waŋ	xxuään
waŋhu	xxuäänxxɤu
waŋpʌp	xxuäänfätɕʰ
waŋkuk	xxuäänkʰotɕʰ
ʌk	xxi
ʌk	i
ɯl	itɕʰ
ɯm	in
ɯmɑk	inxxiätɕʰ
hɑ	xxo
hɑsɑn	xxo
hɑkʌ	xxotʰʂo
hɑtɕʰɑ	xxotʰʂo
hɑpɑnnjʌn	xxopʰoəni
hwasʌk	xotsätɕʰ
hwanoŋ	xo
hwahɑk	xoxxiätɕʰ
kɑ	kʰä
kɑip	kʰänitɕʰ
kɑ	kʰxu
kɑnɯŋ	kʰxunən
hɑ	xxo
hɑtɕi	xxotʰsr
kɑtɕu	kʰätʰsr
kɑin	tɕiätsən
kɑtɕok	tɕiätsotɕʰ
kɑtɕʌŋ	tɕiätin
kwapu	kʰuävu
kwa	kʰxu
kwahɑk	kʰxuxxiätɕʰ
kwajʌn	kʰutsoɤ
kɑsu	kʰusɤu
hɑmɑ	xxumo
hɑlju	xxuliɤ̞u
hwa	xu
hwasɑn	xusɤ
hwatɕʰɑ	xutʰʂo
hwasʌŋ	xuɕin
hwatɕɑŋtɕɑŋ	xutʰsääntsän
hwalo	xulu
hwajak	xuxxiätɕʰ
hwawʌn	xoxxjoɤ
hwakɑp	xotɕiätɕʰ
hwatɕɑŋ	xotsɹ̩ɛn
hwasim	xoɕin
hwatɕo	xo'njäu
hwapun	xofən
hwalju	xoliɤ̞u
hwalosu	xolusr
hwatɕʰo	xotɕiäu
hwapʰɑn	xopɤ
kɑtɕɑ	kätʰsr
hɑhwa	xxuxo
hwakjo	xxotɕtɕiäu
kwa	kʰxu
hwasɛk	xusɤtɕʰ
hwapʰɛ	xupi
kwakʌ	kʰutɕʰi
kwatɕʌl	kʰutɕitɕʰ
ɑʌ	ŋunjj
ɑlɑsɑ	ŋulusr
ɑtɕɑ	ŋätʰsr
ɑtɕʰi	ŋätʰʂr
hɛ	kä
hɛpɑŋ	tɕiäfään
hɛpɑŋkun	tɕiäfääntɕjn
hwɛ	xxuɤ
