OC	MC
qˤəә	oj
ʔˤəәj	oj
qˤat	aj
qˤik	ea
qˤik	ea
qˤəәp	oj
qˤəәp	oj
Cŋˤat	ngaj
ʔˤan	an
ʔˤan	an
ʔˤan	an
ʔˤan	an
ʔˤan	an
qˤomʔ	om
ʔˤan	an
ʔˤan	an
qˤom	om
qˤum	om
kˤrəәm	keam
ŋˤar	ngan
mɢˤar	ngan
kŋˤaŋ	ngan
ŋˤaŋ	ngan
ʔˤaŋ	an
ŋˤaw	ngaw
ŋˤaw	ngaw
ŋˤaw	ngaw
ŋˤaw	ngaw
ŋˤaw	ngaw
ʔˤuʔ	aw
ʔˤuk	aw
ʔˤuk	aw
pˤra	pae
pˤra	pae
pˤra	pae
pˤret	pea
bˤat	ba
mpˤat	ba
bˤot	bea
pˤat	pa
pˤot	pa
pˤraʔ	pae
bˤrajʔ	bea
pˤrak	pae
bˤrak	baek
pˤrak	paek
pˤrak	paek
Npˤrat	baej
Cbˤre	bea
pˤrat	paej
Cpˤrot	peaj
pˤan	paen
pˤəәn 	paen
pˤəәn 	paen
pˤran	paen
Cəәpˤan	pan
Cpˤranʔ	paen
pˤranʔ	paen
panʔ	pjon
Cbˤanʔ	ban
bˤren	bean
pˤan	pan
pˤroŋ	paewn
bˤroŋʔ	baewn
bˤroŋʔ	baewn
bˤaŋ	ban
pˤraŋ	paen
pˤaŋ	pan
pˤu	paew
pˤu	paew
pˤu	paew
pˤu	paw
Cbˤruk	baewk
pˤruʔ	paew
pˤuʔ	paw
pˤuʔ	paw
mpˤuʔ	baw
bˤawk	baw
bˤawk	buwk
pˤrewk	paew
pˤrawk	paew
pˤuk	paw
prəәj	pij
paj	pje
pre	pje
pe	pjie
pe	pjie
pˤəә	pwoj
pˤəәk	pok
bˤot	baj
brəәk	bij
mpʰajʔ	bje
mpʰajʔ	bje
bˤəәʔ	bwoj
bˤut	bwoj
bˤut	bwoj
bˤut	bwoj
bˤəә	bwoj
mpˤəәk	bwoj
mpˤəәk	bwoj
bˤut	bwo
pˤat	paj
pˤəәk	pwoj
pˤur	pwon
pˤur	pwon
Cpˤəәnʔ	pwon
pˤunʔ	pwon
pˤraŋ	paen
pˤrəәŋ	pean
Cəәpˤəәŋ	pon
pˤoŋʔ	puwn
pˤreŋ	pean
pˤəәŋ	pon
prəәk	pik
prəәk	pik
Cəәbit	bjij
mbit	bjij
prəәʔ	pij
prut 	pi
pajʔ	pje
Cpijʔ	pjij
pijʔ	pjij
pijʔ	pjij
pijʔ	pjij
pijʔ	pjij
mpˤeʔ	bej
bˤek	bek
bˤit	be
brit	bi
Npeʔ	bjie
beʔ	bjie
bek	bjie
bet	bjiej
bet	bjiej
bet	bjiej
Npek	bjiek
bit	bji
pˤek	pej
pˤit	pej
Cpˤek	pek
prit	pij
prit	pij
prit	pi
prak	pjaek
por	pje
peʔ	pjie
pek	pjie
pet	pjiej
pek	pjiek
pek	pjiek
pij	pjij
pit	pjij
pij	pjij
pij	pjij
pijʔ	pjij
pit	pji
pit	pji
pit	pji
pit	pji
pit	pji
pit	pji
pit	pji
pit	pji
pˤen	pen
pˤer	pen
pen	pjien
pen	pjien
pen	pjien
per 	pjien
pˤerʔ	pen
pomʔ	pjem
premʔ	pjem
prom	pjem
bˤren	bean
mpˤerʔ	ben
brenʔ	bjen
brenʔ	bjen
Cbron	bjen
bron	bjen
mpʰerʔ	bjien
ben	bjien
pˤen	pen
prenʔ	pjen
pron	pjen
piw	pjiw
pawʔ	pjew
bewʔ	bjiew
pet	pjie
Npret	bje
pret	pje
prəәn	pin
pin	pjin
pin	pjin
prəәŋ 	pin
prəәŋ 	pin
praŋ	pjaen
peŋ	pjien
primʔ	lim
primʔ 	pim
primʔ 	pim
primʔ 	pim
praŋʔ	pjaen
praŋʔ	pjaen
praŋʔ	pjaen
peŋʔ	pjien
bˤeŋʔ	ben
braŋ	bjaen
praŋʔ	pjaen
praŋʔ	pjaen
praŋʔ	pjaen
peŋ	pjien
pˤaj	pa
pˤar	pa
pˤrok 	paewk
pˤat	pa
bˤrak	baek
bˤak	bak
bˤak	bak
bˤut	bwo
bˤut	bwo
bˤut	bwo
bˤut	bwo
pˤrak	paek
pˤrawk	paewk
pˤak	pak
pˤak	pak
pʰˤak	phak
pak	pju
pˤawk	powk
pˤajʔ	pa
pˤajʔ	pa
pˤajʔ	pa
pˤar	pa
pˤrek 	peak
bˤa	bu
Cəәpˤaʔ	pu
pˤok	puwk
bˤaʔ	bu
məәbˤa	bu
bˤoʔ	buw
pəә	pjuw
pəә	pjuw
pˤa	pu
pˤa	pu
dzˤəә	dzoj
dzˤəә	dzoj
dzˤəә	dzoj
dzˤəә	dzoj
sr̥ ˤəәʔ	tshoj
sr̥ ˤəәʔ	tshoj
sr̥ ˤəәʔ	tshoj
sr̥ ˤəәʔ	tshoj
sr̥̥ ˤat	tshaj
sr̥ ˤəәʔ	tshoj
r̥ ˤəәʔ	tshom
mˤrum 	tshom
dzˤam	dzam
dzˤam	dzam
dzˤan	dzan
Cdzˤəәm	dzom
tsʰˤar	tshan
sr̥ ˤaŋ	tshan
tsʰˤaŋ	tshan
tsʰˤaŋ	tshan
tsʰˤaŋ	tshan
mtsʰˤaŋ	dzan
tsʰˤawʔ	tshaw
tsʰˤawʔ	tshaw
Ntsˤu	dzaw
tsʰˤuʔ	tshaw
tsʰˤuʔ	tshaw
tsʰrek	tsrheak
tsʰrek	tsrheak
tsʰˤrek	tsrheak
tsʰrəәk	tsrhi
Nəәtsʰrəәk	tsrhik
tsʰrəәk	tsrhik
tsrəәk	tsrik
tsʰrum	tsrhim
Ntˤəәŋ	dzon
dzˤəәŋ	dzon
mtˤəәŋ	dzon
tsʰraj	tsrhae
tsʰop	tsrhea
məәtsʰop	tsrhea
sqʰrəәp	tsrhea
dˤra	drae
lˤra	drae
dzˤraj	dzrae
dzˤrajʔ	dzrae
tsʰˤret	tsrhea
tʰˤrak	trhae
qʰˤak 	trhaek
tsʰraj	tsrhea
tsʰraj	tsrheaj
Cdzˤre	dzrea
dzˤəәj	dzreaj
dzˤrəә	dzreaj
məәr̥ ˤat	trhaej
tʰam	tsyhem
tʰam	tsyhem
dran	drjen
dran	drjen
dran	drjen
dzran	dzrean
dar	dzyen
dar 	dzyen
sŋrarʔ	srean
qʰromʔ	trhjem
qʰromʔ	trhjem
tʰam	tsyhem
CəәNtraŋ	drjan
lraŋ	drjan
lraŋ	drjan
Cəәdaŋ	dzyan
daŋ	dzyan
daŋ	dzyan
tʰaŋʔ	tsyhan
tʰaŋʔ	tsyhan
tʰraŋ	trhjan
tʰraŋ	trhjan
məәtʰaŋ	tsyhan
məәtʰaŋ	tsyhan
tʰraw	trhjew
Ntaw	drjew
mtaw	drjew
