OC	MC
kŋˤaŋ	kang
ɢʷəәr	hjun
əәkˤat	ka
nˤəәrʔ 	noj
mtˤen	den
dˤet	de
sɢʷet	zjwej
tit	tsyij
ŋˤe	ngej
keŋʔ 	kjieng
dzəәŋ	dzing
kraŋ	kjaeng
pˤreŋ	peang
sr̥ əәm	tsrhim
tʰrak	trhja
ben	bjien
n̥ imʔ	syim
tquk	tsyuw
dzˤran	dzraen
dro	drju
kʷʰˤak	khwa
pak	pju
l̥ ajʔ	sye
gˤreŋʔ	heang
truʔ	trjuw
ŋrar	ngjen
sˤaj	sa
kran 	ljen
qʰəәp	khj+j
qʷʰarʔ 	xjwe
kpʰaŋ	khjwang
kˤenʔ	hen
pˤuʔ	paw
məәtsˤrap 	tsrea
dzˤəәn	dzwon
mtraʔ	drjo
mner	mjie
kˤom	kom
bˤranʔ	baen
tqʰaʔ	tsyho
pʰuk	phjuw
tuŋ	tsyuwng
so	sju
krəәj	kij
qʷʰe	xjwie
ɢʷrəәk	hwi
rˤiŋ	leng
uʔ	aw
tˤemʔ	tem
nrep	nrje
təәŋ	tsying
bˤruk	baew
məәjʔ	mj+j
tip	tsyij
kˤop	ko
qəәʔ 	hi
tsʰˤoj	tshwa
tsˤarʔ 	tsa
əәlo	zyu
mkaŋʔ	gjang
qʰaʔ	xjo
kˤep	ke
kʷˤaŋ	hwang
mit	mji
səәla	zjo
rˤek	le
ɢʷəәʔ 	hjuw
tsˤijʔ	tsej
sloj	sjwe
mqˤaʔ	hu
tsʰroj	tsrhjwe
mqʰəәm	ngim
krəәk	ki
sqʰam  	tshjem
gre	gje
r̥ ˤəәm	thom
səәlaʔ	zjo
mqʰap	ngjae
leŋ 	yeng
nəәm	nrim
rəәj	lij
kʷˤrəәn	kwean
mˤrəәt	meaj
tsʰro	tsrhju
qʷʰˤin	xwen
maw	mjew
ɢʷiŋ	ywin
pʰəәk	phjuw
kriw 	kjiw
tsˤut	tswo
qʷʰrəәk	xwi
pˤu	paw
gʷˤraŋ	hwaeng
qʷʰəәr	xjun
gajʔ	gje
tʰraŋ	trhjang
nij	nyij
əәmrəәŋ	zying
ŋəәr 	ngj+j
əәɢaŋʔ	yang
kˤrəәr	kean
kˤam	kam
tsʰˤarʔ	tsha
ləәj	yij
gəәr 	gj+j
snaŋ	sjang
gˤraŋʔ	haeng
kan	kjon
mrˤəә	meaj
pəәrok	ljow
mˤuk	maw
əәn	on
ʔiw	jiw
məә	mjuw
əәput	pj+j
tret	trje
turʔ	tsywin
stsut	swij
pəә	pjuw
əәkʷˤaj	kwa
krˤen	len
muʔ uʔ)	muw
qʰun	xjun
tˤoŋ	tuwng
rˤəәk	loj
tsˤroj	tsrwae
əәdaŋ	dzyang
mqʷˤəәn	hwon
məәʔ 	muw
nˤəә	nong
qa	kjo
mˤrak	mae
ŋ̊ ew	syew
mtrəәŋ	dring
bˤe	bej
bin	bjin
ləәk	yi
ɢʷaj	ngjwe
prəәŋ 	ping
m̥  ˤəә	xwoj
sŋˤar	sa
rem	ljem
ʔəәjʔ	j+j
tlˤewk	te
tˤuʔ	taw
gojʔ	gjwe
stəәr	syin
qʰrəәj 	trhij
tˤeŋ	deng
n̥ a	syo
rˤe	lej
qim	jim
trep	trje
sˤoj	swa
pij	pjij
kˤranʔ 	kaen
sat	sreaj
n̥ aŋ	syang
pˤot	pa
gˤroŋ	haewng
kəәrʔ	kj+n
stewʔ	syew
ŋəәt	ngj+
qˤoŋ	kuwng
sˤat	sa
kʰˤomʔ	khom
mrorʔ	mjen
tqʰuʔ	tsyhuw
tak	trja
dˤaŋ	dang
mrəәnʔ 	min
əәgʷˤen	hwen
m̥  et	xjwie
praŋ	pjaeng
a 	a
gˤuj	hwoj
gʷˤrat	hwaej
nˤra	nrae
pˤran	paen
liwk	dzyuw
dzˤujʔ	dzwoj
kʰenʔ	khjien
nik	nri
skʰe	sye
kro 	kju
qʰu	xjuw
qʰar 	xjon
pʰom	phjom
tsʰˤəәj	tshej
rəәʔ	li
ŋˤat	ngaj
məәrˤok	luw
ɢʷˤreŋ	hweang
mqʷin 	hwin
tˤonʔ	twan
ret	ea
rˤaŋʔ	dang
gʷˤəәŋ	hweang
rˤen	len
lin	yin
lre	drje
suk	sjuw
kˤren	hean
mtəәk	dzyi
tʰˤok	thuw
gˤrəәm	heam
nroj	nrjwe
rˤaj	la
tʰret	trhje
lraŋ	drjang
pʰˤaŋ	phang
kˤer 	ken
tsʰˤrek	tsrhea
tˤoŋ 	tuwng
ʔij	jij
kˤorʔ 	kwa
rˤan	lan
gʷəәʔ	gjuw
mpəәn	bjun
boŋ	bjowng
do	dzyu
ke 	_
tsaŋ	_
beʔ	_
kəәjʔ	_
krˤorʔ 	_
ŋar	_
məәtronʔ	_
tot	_
kʰˤrak	_
səәləәm 	_
pʰaj	_
əәtsˤəәm	_
gəәk	_
məәtˤok	_
ŋ̊ ˤek	_
pʰˤran	_
bu	_
sqʰ	_
krˤam	_
nˤəәr	_
dzuŋ	_
mo	_
ɢəәm	_
n̥ ˤup	_
qʷˤar	_
ranʔ	_
kʰˤuk	_
kʷəәŋ	_
tgəәp	_
koŋ	_
krəәt 	_
tˤuŋ	_
ɢu	_
dzrijʔ 	_
məәtˤaʔ	_
kʷʰəә	_
ramʔ	_
ŋar	_
kawʔ	_
kʰajʔ	_
tsˤoŋʔ	_
draŋʔ	_
ɢaŋ	_
kˤraŋ	_
nˤaʔ	_
taw	_
qʷʰˤra	_
sˤəәrʔ	_
law	_
təәk	_
po	_
ʔəәk	_
ɢʷrəәp 	_
stsʰˤut	_
qʰəәjʔ	_
tron	_
nˤewk	_
trem	_
tʰˤonʔ	_
kuk	_
srəәm	_
mˤoŋ	_
ʔorʔ	_
kˤrit	_
tsan	_
məәkˤrawʔ	_
tɢəәmʔ	_
kʰˤret	_
tʰruŋ	_
ɢəәr	_
rˤewk	_
ga	_
səәɢ	_
ɢʷeŋ	_
əәkʰˤəәj	_
qʰip	_
pl̥ ˤeŋ	_
kʷa	_
ket	_
ʔom	_
mkˤrəәk	_
pʰut	_
kˤut	_
ɢʷaw	_
gruj	_
mpˤu	_
ʔəәrʔ	_
tˤaʔ	_
qoŋ	_
bak	_
bˤrəәj	_
məәrəәʔ	_
kʰˤeŋ	_
qʰˤraʔ 	_
ɢʷrəәp 	_
sbit	_
kʷʰaj	_
dzu	_
kˤranʔ	_
slut	_
gˤaŋ	_
ɢʷˤren	_
tsˤim	_
l̥ ˤim	_
mˤrəә	_
sɢʷen	_
