kor	wuu
ɑmitʰɑbul	omid̥v̩ʷv̥əʔ
ɛdʑʌŋ	e̞ʑ̥ɪɲ
ɛin	e̞n̠ʲɪɲ
tɕʌdʑʌ	t͡ɕiat͡ɕia
lɯŋ	lɪɲ
hoktɕ*ɑ	ɦʊʔt͡se̞
ɑndʑʌn	øʑ̥i
ɑndʑɑŋ	øt͡sɑ̃
ɑndʑʌŋ	ød̥ɪɲ
ɑndʑʌŋ	øʑ̥ɪɲ
ɑn	ø
hɛŋwa	ɦãho
hɛŋdʑɑ	ɦãt͡sz
hɛŋin	ɦãn̠ʲɪɲ
wi	ɦɯe̞
witɕʰi	ɦɯet͡sz
wijʌp	ɯe̞ɕi̯ɪʔ
ɰiɰi	in̠ʲi
ɰiɡjʌn	it͡ɕi
ɰisɑ	isz
jʌk	ɦi
wi	ɦɯe
wisɑn	ɦɯes
ɰi	i
ɰiɡɯm	it͡ɕɪɲ
ɰisɑŋ	iz̥ɑ̃
ɰibok	iv̥ʊʔ
juɡɑm	ɦiɦø
juboktɕ*ɑ	ɦifʊʔt͡sz̩
tɕʌŋ	t͡ɕɪɲ
hɛ	ɦe
il	i̯ɪʔ
iɾɑ	i̯ɪʔɦo
iɾwʌl	i̯ɪʔɦɥ̯ɪʔ
ilsɛɡjɛ	i̯ɪʔszka̱
iltɕʰʌn	i̯ɪʔt͡ɕʰi
ildʑik	i̯ɪʔz̥əʔ
iltɕʰʌn	i̯ɪʔtʰi
ildo	i̯ɪʔd̥ɔ
iɾil	i̯ɪʔn̠ʲi̯ɪʔ
ilbɑn	i̯ɪʔpø
ilbɑn	i̯ɪʔpe
iɾjaŋ	i̯ɪʔɦiã
ilmɑn	i̯ɪʔv̥e
ilbjʌn	i̯ɪʔpi
ildʑʌm	i̯ɪʔti
ildʑɛ	i̯ɪʔʑ̥i
in	ɪɲ
wʌn	ɦyø
in	ɪɲ
wʌn	ɦø
ɯm	ɪɲ
ɯmjʌŋ	ɪɲɪɲ
ɯmmo	ɪɲmɔ
ɯmjaŋ	ɪɲɦiã
un	ɦʏɲ
ummun	ɦʏɲv̥əɲ
u	ɦiɜ
usu	ɦiɜsɜ
umjʌn	ɦiɜmi
ubjʌn	ɦiɜpi
udʑu	ɦyz̥ɜ
odʑʌɡʌ	v̩ʷz̥əʔɦŋ̍
oɑ	v̩ʷia̱
u	ɦy
umo	ɦymɔ
usɑn	ɦyse
usu	ɦysz
udʑʌm	ɦyti
mjo	mɔ
tɕʰuk	t͡sʰɜ
uŋɡi	ɦʏɲt͡ɕʰi
jʌŋɑ	ɪɲɦəɻ
jʌŋ	i̯ʊŋ
jʌŋwʌn	i̯ʊŋɦyø
jʌŋʌ	ɪɲn̠ʲy
jʌŋmun	ɪɲv̥əɲ
jʌŋuŋ	ɪɲɦi̯ʊŋ
wi	ɦɯe
wisʌŋ	ɦɯeɕɪɲ
wisɛŋ	ɦɯesəɲ
ik	i̯ɪʔ
wʌllɑm	ɦɥ̯ɪʔnø
wʌn	ɦyø
wʌndʑʌŋ	ɦyøtɪɲ
jʌn	ɦi
jʌm	ɦi
jʌn	i
jʌntɕʰo	it͡sʰɔ
jʌndɛ	id̥e̞
jʌndʑɑ	it͡sz̩
wʌndʑok	ɦøt͡sʊʔ
jʌn	kʰe
jʌmpʰi	kʰeb̥i
jʌmpʰil	kʰepi̯ɪʔ
wʌnɑŋ	yøiã
waŋwaŋ	ɯɑ̃ɯɑ̃
waŋ	ɦɯɑ̃
waŋu	ɦɯɑ̃ɦɜ
waŋbʌp	ɦɯɑ̃fa̱ʔ
waŋɡuk	ɦɯɑ̃kʊʔ
ʌk	ɦi
ʌk	i
ɯl	i̯ɪʔ
ɯm	ɪɲ
ɯmɑk	ɪɲɦia̱ʔ
hɑsɑn	ɦose
hɑbɑnnjʌn	ɦopøn̠ʲi
hwasʌk	hoz̥a̱ʔ
hwanoŋ	honʊŋ
hwaɑk	hoɦia̱ʔ
kɑ	ka̱
kɑip	ka̱n̠ʲi̯ɪʔ
kɑ	kʰv̩ʷ
kɑnɯŋ	kʰv̩ʷnəɲ
hɑdʑi	ɦot͡sz̩
kɑdʑu	ka̱t͡sz̩
kɑin	t͡ɕia̱z̥əɲ
kɑdʑok	t͡ɕia̱z̥ʊʔ
kɑdʑʌŋ	t͡ɕia̱d̥ɪɲ
kwabu	kɯa̱v̥v̩ʷ
kwa	kʰv̩ʷ
kwaɑk	kʰv̩ʷɦia̱ʔ
kwajʌn	kv̩ʷz̥ø
kɑsu	kv̩ʷsɜ
hɑmɑ	ɦv̩ʷmo
hɑɾju	ɦv̩ʷliɜ
hwa	hv̩ʷ
